operate_size,tree_size,avg_stash,min_stash,max_stash,avg_time,min_time,max_time
100000,200000,55,50,60,2648866,2614224,2734929
100000,1000000,62,59,67,12202142,12169517,12235085
200000,200000,53,50,57,3456313,3440252,3496544
200000,1000000,61,58,65,14230658,13165615,15136476
500000,200000,54,51,59,6585346,6200682,7147207
500000,1000000,63,61,68,17701493,17150550,18195798
700000,200000,55,51,65,8542688,8202181,9096261
700000,1000000,64,59,69,19923671,19782285,20242074
1000000,200000,54,52,57,11094296,10291975,11715037
1000000,1000000,62,59,67,23927696,23265596,24428050
