operate_size,tree_size,avg_stash,min_stash,max_stash,avg_time,min_time,max_time
100000,200000,129,113,140,6745449,6536954,6958157
100000,1000000,1161,1126,1213,18710584,18590176,18930195
200000,200000,117,101,135,8151177,7836250,8478211
200000,1000000,1148,1120,1202,20062381,19825302,20212045
500000,200000,127,111,143,12990581,12721852,13314187
500000,1000000,1141,1099,1185,24193589,23994548,24372158
700000,200000,119,108,131,16033652,15756580,16261629
700000,1000000,1151,1094,1213,26829923,26646358,27003733
1000000,200000,128,115,148,20617238,20284504,20888818
1000000,1000000,1159,1131,1190,32228799,30797084,36532681
