operate_size,tree_size,avg_stash,min_stash,max_stash,avg_time,min_time,max_time
100000,200000,54,50,61,4673,4430,6191
100000,1000000,746,725,767,16125,14980,17216
200000,200000,53,50,59,6358,5897,7759
200000,1000000,755,740,772,17057,15866,18208
500000,200000,55,50,61,11242,10313,12764
500000,1000000,755,745,767,21513,19900,23075
700000,200000,54,50,61,14631,13260,15860
700000,1000000,761,743,781,24409,22726,25249
1000000,200000,54,52,60,18989,17735,20619
1000000,1000000,756,740,776,28802,27383,29459
