operate_size,tree_size,avg_stash,min_stash,max_stash,avg_time,min_time,max_time
100000,200000,54,49,61,2867436,2836489,2953795
100000,1000000,62,59,66,13183575,13069481,13320751
200000,200000,54,51,58,3761915,3717646,3858758
200000,1000000,63,61,68,14480900,14207669,15240586
500000,200000,52,50,57,6412169,6329370,6517502
500000,1000000,61,59,68,17617027,17507312,17738457
700000,200000,54,50,60,8201963,8105575,8308919
700000,1000000,61,59,67,19900899,19660132,20419442
1000000,200000,54,51,62,10862652,10660655,11027593
1000000,1000000,60,58,64,23276594,23105246,23629298
