operate_size,tree_size,avg_stash,min_stash,max_stash,avg_time,min_time,max_time
100000,200000,54,49,60,2880363,2792659,2952994
100000,1000000,744,733,767,9227261,9147374,9394274
200000,200000,53,50,58,3749348,3696258,3852981
200000,1000000,741,730,751,10614632,9963810,13136383
500000,200000,53,50,64,6664398,6437486,6875969
500000,1000000,748,739,759,12808102,12229489,13087997
700000,200000,52,50,55,8531838,8140921,8881304
700000,1000000,745,737,755,13413363,12938472,14125134
1000000,200000,54,50,57,9975893,9901657,10084380
1000000,1000000,741,729,752,15419266,15099236,17618528
