operate_size,tree_size,avg_stash,min_stash,max_stash,avg_time,min_time,max_time
100000,200000,54,51,59,4706423,4486908,6049331
100000,1000000,64,61,70,22176299,20798605,23435813
200000,200000,54,51,60,6531917,5989889,7986450
200000,1000000,64,60,73,24084550,22057068,25209093
500000,200000,53,51,57,11143712,10403509,12507324
500000,1000000,63,60,68,29720151,28452387,30886239
700000,200000,55,52,58,13998661,13073544,15048560
700000,1000000,62,60,72,32892270,32557014,33721599
1000000,200000,54,52,62,18538989,17090182,20155693
1000000,1000000,64,62,70,38799507,37772242,41055827
