operate_size,tree_size,avg_stash,min_stash,max_stash,avg_time,min_time,max_time
100000,200000,57,53,61,4663,4614,4699
100000,1000000,757,729,768,14927,14851,14993
200000,200000,54,52,60,6161,6092,6230
200000,1000000,763,750,775,16266,16154,16357
500000,200000,55,51,61,10532,10311,10737
500000,1000000,753,727,775,17622,13587,20571
700000,200000,54,52,59,10291,10219,10450
700000,1000000,759,738,792,17476,17170,17766
1000000,200000,54,51,61,13797,13413,14201
1000000,1000000,756,743,773,20342,20019,20707
