operate_size,tree_size,avg_stash,min_stash,max_stash,avg_time,min_time,max_time
100000,200000,119,104,129,8423,8254,8775
100000,1000000,1157,1111,1203,23975,22755,24773
200000,200000,122,104,141,10463,10231,10726
200000,1000000,1153,1083,1208,23163,22452,24901
500000,200000,121,100,142,16691,16208,17135
500000,1000000,1159,1123,1210,32585,30973,33768
700000,200000,131,114,154,19879,18053,21071
700000,1000000,1171,1131,1205,33822,30799,35049
1000000,200000,117,106,127,24998,23251,26333
1000000,1000000,1146,1114,1201,40223,39632,40899
