operate_size,tree_size,avg_stash,min_stash,max_stash,avg_time,min_time,max_time
100000,200000,54,50,59,3726,3015,4710
100000,1000000,738,726,759,10427,9650,12331
200000,200000,53,51,56,4508,4360,4623
200000,1000000,747,729,763,12115,11935,12222
500000,200000,53,51,55,7962,7845,8046
500000,1000000,745,727,766,15015,14806,15240
700000,200000,54,50,59,10163,9910,10367
700000,1000000,745,731,761,16465,14626,17732
1000000,200000,55,50,61,12553,11481,13755
1000000,1000000,738,728,750,19888,18620,20474
